Geographic region\Time,1999-Q3,2003-Q3,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.3,29.3,29.7,28.8,30.3,30.3,30,29.8,29.8,29.8,29.8,29.8,29.9,35.7
Austria,27.9,34.1,34.1,31.9,31.9,33,33,33.1,32.8,32.8,33,33,31.3,32.2,32.2,32.2,32.2,31.1,31.3,31.3,28,27.9,27.9,27,27.9,27.9,27.9,27.9,27.3,27.3,27.9,27.3,27.9,27.9,28.4,28.4,29,29,29,33.3,32.2,31.7,31.1,30.6,30.6,30.6,30.6,30.8,30.6,30.1,30.6,30.6,30.6,31.1,31.1,31.1,35,35.5,35.5,36.6,37.2,36.6,37.2,39.3,39.3,39.3,39.3,39.3,39.9,39.9,39.9,40.4
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,23.8,21.4,21.4,21.4,21.4,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2
Belgium,23.3,35.6,36.2,34.9,34.9,32.2,35.6,35.6,35.3,35.3,35.6,35.6,35.6,36.7,34.7,35.3,35.3,37.3,37.3,37.3,38,38,38.3,38.7,38,38,39.6,40,40,40,40,40,39.3,39.3,39.3,39.9,40.5,38.9,39.3,40,40.7,40.7,38.7,38,39.3,39.3,38.7,38,38,38.3,38.7,38.7,38.7,38,38.3,38.7,38,38,37.3,37.3,37.3,37.3,42,41.3,41.3,41.3,41.3,42,42,42,42.7,42
Bulgaria,0,25.9,27.6,27.6,28,28,28.2,22.2,21.3,21.3,21.3,21.3,21.3,21.5,21.7,21.8,21.8,21.7,21.7,21.7,21.8,21.8,21.7,21.7,21.7,21.7,22.1,22.1,21.8,22.1,22.1,22.1,23.8,23.3,23.3,23,22.9,22.9,24.6,24.6,24.8,25.5,26.4,20.4,20,20,20,19.6,19.6,19.2,19.2,19.2,19.2,25.8,26.7,25.9,26.4,26.7,26.7,25.4,25.8,26.3,26.4,27.1,26.7,26.7,27.1,27.1,27.1,23.8,24.6,24.6
Cyprus,0,10.9,10.9,10.9,9.1,14.5,16.4,16.4,16.4,14.5,16.4,16.4,16.4,14.3,14.3,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,12.5,12.5,12.5,12.5,12.5,12.5,12.5,10.7,10.7,10.7,10.7,10.7,10.7,10.7,12.5,12.5,14.3,14.3,14.3,14.3,14.3,12.5,12.5,12.5,12.5,12.5,12.5,18.6,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,18.2,18.2,18.2,18.2,17.9,20,20,20,22.2,22.2,22.2,14.3,14.3
Czechia,0,0,0,0,15.1,15.5,16,16.1,15.6,13.6,16.1,15.6,15.6,14.5,14.5,14.5,14.5,14.5,14.5,15.5,17.5,17.5,17.6,18.1,18.1,18,22,22,22,22,22,22.4,22,22,22,21.5,21.5,21.5,21.5,19.5,19.5,20,19.5,19.5,20,20,20,20,20.5,20.5,20.5,20.5,20,20,20.5,22,22.1,22,22.5,22.5,23,23.5,22.5,22.5,22.5,22.5,23,22.5,22.5,22.5,23,24.5
Germany,31.1,32.5,32.5,32.8,32.8,32.8,32.8,32.8,31,31.5,31.6,32.8,32.8,31.2,31.1,32.7,31.9,31.7,31.7,31.7,31.8,32.1,32.1,32.8,33,32.5,32.8,32.6,33,33,32.7,32.9,32.9,32.9,32.9,32.9,33.1,33.2,33.2,36.5,36.5,36.5,36.3,36.5,36.5,36.1,36.1,36,36.8,36.8,36.8,37,37.1,37.1,37.1,30.9,30.9,30.9,30.9,30.9,31.3,31.3,31.2,31.2,31.2,31.5,31.5,31.2,31.4,31.7,31.6,34.6
Denmark,37.4,38.2,38.2,38.5,37.6,37.7,37.1,37.1,40.2,37.1,37.1,39.3,39.3,37.3,37.1,37.1,37.1,38,38,38,37.2,36.9,36.9,38.5,38,38.3,37.4,37.6,37.9,37.6,37.2,39.1,40.2,38.7,38.9,40.8,40.2,39.6,39.1,38,38,38,38.3,38.5,38,38,37.4,37.4,37.4,36.9,36.9,37.4,37.4,37.4,37.4,37.4,37.4,36.9,37.1,36.3,37.4,36.8,39.1,39.7,39.1,39.7,39.7,39.7,39.9,39.7,40.8,41.3
Estonia,0,17,17,19,15,20,18,20,18,19,20,20,19,18.8,21.8,20.8,20.8,20.8,20.8,20.8,20.8,22.8,20.8,21.8,22.8,22.8,22.8,22.8,23.8,19.8,19.8,19.8,19.8,19.8,20.8,21,21.8,20.8,17.8,17.8,16.8,19.8,18.8,19.8,19.8,23.8,23.8,25.7,26.7,26.7,27,25.7,26.7,26.7,26.7,27.7,27.7,27.7,29.7,29.7,27.7,29.7,28.7,28.7,28.7,28.7,28.7,29.7,25.7,25.7,25.7,26.7
Greece,6.7,9,12,12.7,13,11.4,6.4,6.4,13,12,12,12.7,12.7,14.4,14.1,14.3,14.3,16,16,16,15.9,15.9,15.9,17,17.1,16.9,17.3,17,17.7,17.3,17.3,17.3,19,18.7,21,21,21,21,21,21,21,21,21,21,23,23,23.3,19.7,18.7,18.7,18.7,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,20.3,21.3
Spain,22,31.2,36.4,36.4,36.4,36.1,36.1,36.1,36.1,36.4,36.4,36.1,35.9,36.3,36.9,36.6,36.6,35.7,35.4,35.4,35.7,35.7,35.7,36.3,36.6,36.6,36.6,36.9,37.1,37.1,38,28.7,37.4,39,39.1,39.4,40,40,40,39.7,39.7,39.7,40,40.9,42,41.7,42.4,43,39.4,39.4,39.1,38.9,39.7,40,40,40.6,41.1,41.1,41.7,41.4,41.4,41.4,48.1,44.1,44,44,43.7,44,43.7,43.7,43.3,43.3
Finland,37,37.2,37.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,42,42,41.5,41.5,41.5,41.5,41.3,41.3,41.2,40,40,40,40,40,39.5,39.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,43,43,43,42.5,42.5,42.5,42,42,42,41.5,41.5,41.5,41.5,41.5,41.5,42,42,42,42,42,42,41.5,41.5,41.5,41.5,46,46.5,46.5,46,46,46,46,46,46,46,46
France,10.9,12.2,12.7,12.7,12.7,12.7,12.7,13,15,13,13,13.1,13.1,13.3,13.3,18.4,18.4,18.6,18.4,18.6,18.4,18.4,18.7,18.8,18.9,18.9,19.4,19.2,19.4,19.6,19.4,19.2,19.3,19.5,26.5,26.5,26.2,26.1,26.2,26.2,26.2,26.1,26.3,26.5,26.2,26.4,26.2,26.2,26.3,25.8,26.1,26.2,26,26.4,39,39.1,39.1,39.2,39.6,39.7,39.8,39.5,39.4,39.4,39.7,39.9,41.2,41,40.8,40.8,42.1,41.6
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7,21.9,20.9,21.9,21.6,21.6,21.6,22.2,22.9,23.5,23.5,23.5,24.8,24.8,24.8,25.5,25.5,25.5,25.5,24.5,23.8,25.2,25.8,25.7,26,23.8,23.8,24.5,24.5,25.2,25.8,25.8,25.2,24.5,25.2,15.2,20.5,19.9,18.5,18.5,18.5,17.9,18,19.2,19.9,20.5,20.5,20.5,20.5,19.9,19.9,18.5,19.2,31.1,31.1,31.1,31.1,32.5,31.8
Hungary,0,9.6,8.8,8.8,8.8,8.9,8.8,8.8,8.8,9.1,9.9,10.1,10.1,10.9,10.9,11.2,11.2,11.4,11.2,10.9,10.7,10.4,10.7,11.2,11.2,9.1,8.8,8.8,8.8,8.9,8.8,8.8,8.8,8.8,8.8,9.1,9.1,9.3,9.4,9.4,9.4,9.5,10.1,10.1,9.6,9.6,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,11.6,12.6,12.6,12.6,12.1,12.1,12.2,12.1,12.1,12.1,12.6,12.6,12.6,12.6,13.1
Ireland,12,12.7,12.1,11.5,11.5,13.3,14.2,13.9,13.3,10.9,13.3,11.5,12.1,13.3,13.3,13.3,13.3,12.7,12.7,12.7,12.7,12.7,13.3,14.1,13.9,13.9,13.9,13.9,13.9,15.1,15.1,15.1,15.1,15.1,15.1,15,15.1,15.7,15.7,15.7,15.7,15.2,15.1,16.3,16.3,16.4,15.9,16.3,16.3,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22,22.2,22.2,22.2,22.5,22.5,22.5,22.5,22.5,22.6,23.1,23.1
Iceland,0,35.5,31.7,31.7,30.6,30.6,32.3,31.7,32.8,32.3,32.3,33.9,33.9,36.5,31.7,31.7,31.7,33.3,33.3,33.3,36.5,42.9,42.9,42.9,42.9,42.9,41.3,41.3,41.3,41.3,41.3,38.7,39.7,39.7,39.7,39.7,38.1,39.7,39.7,41,40.3,39.7,39.7,41.3,41.3,41.3,42.9,46,46,46,46,47.6,47.6,47.6,47.6,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,39.7,39.7,39.7,39.7,39.7,38.1,47.6
Italy,11.4,11.5,11.5,11.7,11.5,11.5,11.7,11.7,11.6,11.6,17.7,17.1,17.1,17.3,17.3,17.3,17.3,21.1,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.1,21.1,21.1,21.1,21.1,21.4,21.4,21.6,21.4,21.4,21.4,28.4,31.4,31.4,31.3,31.3,31.4,31.1,31.3,31,31,31.1,31.1,31.1,31.1,31.1,31,31,31,31,31,31.3,35.7,35.6,35.8,35.7,35.8,36,36,36,35.9,35.9,35.9,36,36.2,36.3,36.2
Liechtenstein,0,12.5,12.5,12.5,12.5,12.5,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,28,24,24,24,24,24,24,24,24,24,24,24,24,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,12,12,12,12,12,12,12,16,12,12,12,12,12,12,12,12,28,28,28,28
Lithuania,0,0,0,0,22.1,18.6,22.1,22.3,22.9,21.4,22.1,22.9,22.1,23.4,23.6,23.4,23.4,23.4,23.4,23.4,18.4,18.4,18.7,18.7,19.1,19.1,19.1,19.1,19.3,19.3,19.1,19.1,19.3,19.3,19.4,23.7,25.2,24.1,24.1,24.1,24.1,24.1,23.4,23.6,23.6,24.3,24.1,24.1,24.1,24.1,24.3,21.3,20.7,20.7,20.6,20.6,20.7,21.4,21.4,22,22,22.3,23.2,24.1,24.3,24.3,24.3,26.2,27,28.4,28.4,28.4
Luxembourg,16.7,20.3,20.3,27.1,23.7,23.7,23.7,22.4,20.7,22.4,22.4,24.1,23.7,25.4,25,25,25,25.4,25,25,25,25,20,20,20,20,20,20,20,23.3,25,23.7,23.3,23.3,23.3,23.3,21.7,21.7,21.7,23.3,28.3,28.3,26.7,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,26.7,28.3,31.7,21.7,25,25,25,28.3,31.7,31.7,31.7,31.7,31.7,31.7,35,35
Latvia,0,20.2,20.2,17.2,17.2,20.2,20.2,21.2,21.2,19.2,21.2,21.2,19.2,19,19,20,20,21,21,21,22,19,22,22,22,22,21,19,20,19,21,21,23,23,23,23,23,23,23.2,25,25,25,26,18,17,17,16,17,15,16,16,16,16,15,18,17,16,17,18,31,30,30,30,30,30,30,31,29,27,27,27.3,28
