,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total 1999-Q3,Total 2003-Q3,Total 2004-Q2,Total 2004-Q3,Total 2004-Q4,Total 2005-Q1,Total 2005-Q2,Total 2005-Q3,Total 2005-Q4,Total 2006-Q1,Total 2006-Q2,Total 2006-Q3,Total 2006-Q4,Total 2007-Q1,Total 2007-Q2,Total 2007-Q4,Total 2008-Q1,Total 2008-Q2,Total 2008-Q3,Total 2008-Q4,Total 2009-Q1,Total 2009-Q2,Total 2009-Q3,Total 2009-Q4,Total 2010-Q1,Total 2010-Q2,Total 2010-Q3,Total 2010-Q4,Total 2011-Q1,Total 2011-Q2,Total 2011-Q3,Total 2011-Q4,Total 2012-Q1,Total 2012-Q2,Total 2012-Q3,Total 2012-Q4,Total 2013-Q1,Total 2013-Q2,Total 2013-Q3,Total 2013-Q4,Total 2014-Q1,Total 2014-Q2,Total 2014-Q3,Total 2014-Q4,Total 2015-Q1,Total 2015-Q2,Total 2015-Q3,Total 2015-Q4,Total 2016-Q1,Total 2016-Q2,Total 2016-Q3,Total 2016-Q4,Total 2017-Q1,Total 2017-Q2,Total 2017-Q3,Total 2017-Q4,Total 2018-Q1,Total 2018-Q2,Total 2018-Q3,Total 2018-Q4,Total 2019-Q1,Total 2019-Q2,Total 2019-Q3,Total 2019-Q4,Total 2020-Q1,Total 2020-Q2,Total 2020-Q3,Total 2020-Q4,Total 2021-Q1,Total 2021-Q2,Total 2021-Q3,Total 2021-Q4,Men 1999-Q3,Men 2003-Q3,Men 2004-Q2,Men 2004-Q3,Men 2004-Q4,Men 2005-Q1,Men 2005-Q2,Men 2005-Q3,Men 2005-Q4,Men 2006-Q1,Men 2006-Q2,Men 2006-Q3,Men 2006-Q4,Men 2007-Q1,Men 2007-Q2,Men 2007-Q4,Men 2008-Q1,Men 2008-Q2,Men 2008-Q3,Men 2008-Q4,Men 2009-Q1,Men 2009-Q2,Men 2009-Q3,Men 2009-Q4,Men 2010-Q1,Men 2010-Q2,Men 2010-Q3,Men 2010-Q4,Men 2011-Q1,Men 2011-Q2,Men 2011-Q3,Men 2011-Q4,Men 2012-Q1,Men 2012-Q2,Men 2012-Q3,Men 2012-Q4,Men 2013-Q1,Men 2013-Q2,Men 2013-Q3,Men 2013-Q4,Men 2014-Q1,Men 2014-Q2,Men 2014-Q3,Men 2014-Q4,Men 2015-Q1,Men 2015-Q2,Men 2015-Q3,Men 2015-Q4,Men 2016-Q1,Men 2016-Q2,Men 2016-Q3,Men 2016-Q4,Men 2017-Q1,Men 2017-Q2,Men 2017-Q3,Men 2017-Q4,Men 2018-Q1,Men 2018-Q2,Men 2018-Q3,Men 2018-Q4,Men 2019-Q1,Men 2019-Q2,Men 2019-Q3,Men 2019-Q4,Men 2020-Q1,Men 2020-Q2,Men 2020-Q3,Men 2020-Q4,Men 2021-Q1,Men 2021-Q2,Men 2021-Q3,Men 2021-Q4,Women 1999-Q3,Women 2003-Q3,Women 2004-Q2,Women 2004-Q3,Women 2004-Q4,Women 2005-Q1,Women 2005-Q2,Women 2005-Q3,Women 2005-Q4,Women 2006-Q1,Women 2006-Q2,Women 2006-Q3,Women 2006-Q4,Women 2007-Q1,Women 2007-Q2,Women 2007-Q4,Women 2008-Q1,Women 2008-Q2,Women 2008-Q3,Women 2008-Q4,Women 2009-Q1,Women 2009-Q2,Women 2009-Q3,Women 2009-Q4,Women 2010-Q1,Women 2010-Q2,Women 2010-Q3,Women 2010-Q4,Women 2011-Q1,Women 2011-Q2,Women 2011-Q3,Women 2011-Q4,Women 2012-Q1,Women 2012-Q2,Women 2012-Q3,Women 2012-Q4,Women 2013-Q1,Women 2013-Q2,Women 2013-Q3,Women 2013-Q4,Women 2014-Q1,Women 2014-Q2,Women 2014-Q3,Women 2014-Q4,Women 2015-Q1,Women 2015-Q2,Women 2015-Q3,Women 2015-Q4,Women 2016-Q1,Women 2016-Q2,Women 2016-Q3,Women 2016-Q4,Women 2017-Q1,Women 2017-Q2,Women 2017-Q3,Women 2017-Q4,Women 2018-Q1,Women 2018-Q2,Women 2018-Q3,Women 2018-Q4,Women 2019-Q1,Women 2019-Q2,Women 2019-Q3,Women 2019-Q4,Women 2020-Q1,Women 2020-Q2,Women2020-Q3,Women 2020-Q4,Women 2021-Q1,Women 2021-Q2,Women 2021-Q3,Women 2021-Q4
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,140,138,111,119,119,120,121,121,121,121,121,117,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,97,79,83,83,84,85,85,85,85,85,82,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,41,32,36,36,36,36,36,36,36,36,35,50
Austria,183,182,182,182,182,182,182,181,183,183,182,182,182,183,183,183,183,183,182,182,182,183,183,178,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,182,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,132,120,120,124,124,122,122,121,123,123,122,122,125,124,124,124,124,126,125,125,131,132,132,130,132,132,132,132,133,133,132,133,132,132,131,131,130,130,130,122,124,125,126,127,127,127,127,126,127,128,127,127,127,126,126,126,119,118,118,116,115,116,115,111,111,111,111,111,110,110,110,109,51,62,62,58,58,60,60,60,60,60,60,60,57,59,59,59,59,57,57,57,51,51,51,48,51,51,51,51,50,50,51,50,51,51,52,52,53,53,53,61,59,58,57,56,56,56,56,56,56,55,56,56,56,57,57,57,64,65,65,67,68,67,68,72,72,72,72,72,73,73,73,74
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,42,42,42,42,42,42,42,42,42,42,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,33,33,33,33,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,9,9,9,9,11,11,11,11,11,11,11,11
Belgium,150,149,149,149,149,149,149,149,150,150,149,149,149,150,150,150,150,150,150,150,150,150,149,150,150,150,149,150,150,150,150,150,150,150,150,148,148,149,150,150,150,150,150,150,150,150,150,150,150,149,150,150,150,150,149,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,115,96,95,97,97,101,96,96,97,97,96,96,96,95,98,97,97,94,94,94,93,93,92,92,93,93,90,90,90,90,90,90,91,91,91,89,88,91,91,90,89,89,92,93,91,91,92,93,93,92,92,92,92,93,92,92,93,93,94,94,94,94,87,88,88,88,88,87,87,87,86,87,35,53,54,52,52,48,53,53,53,53,53,53,53,55,52,53,53,56,56,56,57,57,57,58,57,57,59,60,60,60,60,60,59,59,59,59,60,58,59,60,61,61,58,57,59,59,58,57,57,57,58,58,58,57,57,58,57,57,56,56,56,56,63,62,62,62,62,63,63,63,64,63
Bulgaria,0,239,239,239,239,239,238,239,239,239,239,239,239,237,240,239,239,240,240,240,238,239,240,240,240,240,240,240,239,240,240,240,240,240,240,239,240,240,240,240,238,239,239,240,240,240,240,240,240,239,240,240,240,240,240,239,239,240,240,240,240,240,239,240,240,240,240,240,240,240,240,240,0,177,173,173,172,172,171,186,188,188,188,188,188,186,188,187,187,188,188,188,186,187,188,188,188,188,187,187,187,187,187,187,183,184,184,184,185,185,181,181,179,178,176,191,192,192,192,193,193,193,194,194,194,178,176,177,176,176,176,179,178,177,176,175,176,176,175,175,175,183,181,181,0,62,66,66,67,67,67,53,51,51,51,51,51,51,52,52,52,52,52,52,52,52,52,52,52,52,53,53,52,53,53,53,57,56,56,55,55,55,59,59,59,61,63,49,48,48,48,47,47,46,46,46,46,62,64,62,63,64,64,61,62,63,63,65,64,64,65,65,65,57,59,59
Cyprus,0,55,55,55,55,55,55,55,55,55,55,55,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,59,56,56,56,56,56,56,56,56,55,55,55,55,56,55,55,55,54,54,54,56,56,0,49,49,49,50,47,46,46,46,47,46,46,46,48,48,47,47,47,47,47,47,47,47,49,49,49,49,49,49,49,50,50,50,50,50,50,50,49,49,48,48,48,48,48,49,49,49,49,49,49,48,46,46,46,46,46,46,46,46,45,45,45,45,46,44,44,44,42,42,42,48,48,0,6,6,6,5,8,9,9,9,8,9,9,9,8,8,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,6,6,6,6,6,6,6,7,7,8,8,8,8,8,7,7,7,7,7,7,11,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,12,12,12,8,8
Czechia,0,0,0,0,199,200,200,199,199,199,199,199,199,200,200,200,200,200,200,200,200,200,199,199,199,200,200,200,200,200,200,201,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,199,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,0,0,0,169,169,168,167,168,172,167,168,168,171,171,171,171,171,171,169,165,165,164,163,163,164,156,156,156,156,156,156,156,156,156,157,157,157,157,161,161,160,161,161,160,160,160,160,159,159,159,159,160,160,159,156,155,156,155,155,154,153,155,155,155,155,154,155,155,155,154,151,0,0,0,0,30,31,32,32,31,27,32,31,31,29,29,29,29,29,29,31,35,35,35,36,36,36,44,44,44,44,44,45,44,44,44,43,43,43,43,39,39,40,39,39,40,40,40,40,41,41,41,41,40,40,41,44,44,44,45,45,46,47,45,45,45,45,46,45,45,45,46,49
Germany,669,610,610,600,600,600,600,600,616,613,613,613,613,622,624,596,612,612,612,612,611,611,611,622,622,621,622,622,622,621,620,620,620,620,620,620,620,620,620,631,631,631,631,631,631,631,631,630,630,630,630,630,630,630,630,709,711,712,712,709,709,709,709,708,709,709,710,711,710,710,708,736,461,412,412,403,403,403,403,403,425,420,419,412,412,428,430,401,417,418,418,418,417,415,415,418,417,419,418,419,417,416,417,416,416,416,416,416,415,414,414,401,401,401,402,401,401,403,403,403,398,398,398,397,396,396,396,490,491,492,492,490,487,487,488,487,488,486,486,489,487,485,484,481,208,198,198,197,197,197,197,197,191,193,194,201,201,194,194,195,195,194,194,194,194,196,196,204,205,202,204,203,205,205,203,204,204,204,204,204,205,206,206,230,230,230,229,230,230,228,228,227,232,232,232,233,234,234,234,219,220,220,220,219,222,222,221,221,221,223,224,222,223,225,224,255
Denmark,179,178,178,174,178,175,178,178,169,178,178,178,178,193,194,194,194,179,179,179,180,179,179,182,184,183,182,181,182,181,180,179,179,181,180,179,179,182,179,179,179,179,180,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,178,179,179,182,179,179,179,179,179,179,178,179,179,179,112,110,110,107,111,109,112,112,101,112,112,108,108,121,122,122,122,111,111,111,113,113,113,112,114,113,114,113,113,113,113,109,107,111,110,106,107,110,109,111,111,111,111,110,111,111,112,112,112,113,113,112,112,112,112,112,112,113,112,114,112,115,109,108,109,108,108,108,107,108,106,105,67,68,68,67,67,66,66,66,68,66,66,70,70,72,72,72,72,68,68,68,67,66,66,70,70,70,68,68,69,68,67,70,72,70,70,73,72,72,70,68,68,68,69,69,68,68,67,67,67,66,66,67,67,67,67,67,67,66,66,65,67,67,70,71,70,71,71,71,71,71,73,74
Estonia,0,100,100,100,100,100,100,100,100,100,100,100,100,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,100,101,101,101,101,101,101,101,101,101,101,101,101,101,101,100,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,0,83,83,81,85,80,82,80,82,81,80,80,81,82,79,80,80,80,80,80,80,78,80,79,78,78,78,78,77,81,81,81,81,81,80,79,79,80,83,83,84,81,82,81,81,77,77,75,74,74,73,75,74,74,74,73,73,73,71,71,73,71,72,72,72,72,72,71,75,75,75,74,0,17,17,19,15,20,18,20,18,19,20,20,19,19,22,21,21,21,21,21,21,23,21,22,23,23,23,23,24,20,20,20,20,20,21,21,22,21,18,18,17,20,19,20,20,24,24,26,27,27,27,26,27,27,27,28,28,28,30,30,28,30,29,29,29,29,29,30,26,26,26,27
